patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,039364265182,08/05/1954,0349909808,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Huyết áp cao,5.77,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hà Bùi,677925104870,09/07/1948,0587344847,jane94@example.org,"18 Hoàng Tổ
Thành phố JohnPhường, 338968",Tim mạch,8.49,Vũ Phạm,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Phúc Phú Đặng,054778095104,15/11/1963,0960800876,john92@example.net,"64 Jane Đường
Thành phố JaneThị xã, 380746",Huyết áp cao,6.06,Lâm Hoàng,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Anh Anh Lê,107726367965,03/12/1968,0587529159,jane96@example.com,"7 John Ngõ
Quận JaneXã, 166613",Tim mạch,10.49,Kim Mai Mai,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Dương Trần,849440039589,03/09/1971,0390759941,john46@example.org,"2 Jane Làng
Huyện JohnXã, 916449",Tiểu đường,6.51,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Quang Nguyễn,226124749773,21/02/1968,0762345751,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Tiểu đường,9.33,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hương Đặng,673636478120,22/03/1938,0894521046,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Khỏe mạnh,7.66,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Huy Bảo Dương,989411243766,24/09/1942,0922062560,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Khỏe mạnh,9.41,Ông Hưng Mai,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Chị Hồng Dương,598470463387,14/11/2000,0550331514,janenguyen@example.org,"74 Mai Dãy
Quận JaneQuận, 161324",Tiểu đường,11.0,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Trần,539803968933,25/08/1960,0905162204,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Huyết áp cao,4.51,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Vũ Văn Dương,088254854887,19/12/1948,0897055026,maijohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Tiểu đường,5.21,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,781421948101,06/11/2001,0807167039,john16@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Huyết áp cao,3.87,Nhiên Trí Bùi,25/01/2026
